iso3c,country_name,gdp,waste_collection_coverage_total_percent_of_population
AGO,Angola,8037,23
ALB,Albania,13724,60
AND,Andorra,43712,100
ARG,Argentina,23550,90
ASM,American Samoa,11113,100
ATG,Antigua and Barbuda,17966,99
AZE,Azerbaijan,14854,56
BFA,Burkina Faso,1925,10
BLR,Belarus,18308,93
BLZ,Belize,7259,85
BMU,Bermuda,80982,100
BOL,Bolivia,7984,58
BRA,Brazil,14596,91
BRB,Barbados,15445,90
CAN,Canada,47672,99
CHE,Switzerland,68394,99
CHN,China,16092,94
CMR,Cameroon,3263,62
COL,Colombia,12523,81
CPV,Cabo Verde,6354,71
CRI,Costa Rica,18169,90
CUB,Cuba,12985,77
DMA,Dominica,11709,94
FSM,"Micronesia, Fed. Sts.",3440,8
GAB,Gabon,18515,24
GEO,Georgia,12605,60
GTM,Guatemala,8125,78
GUM,Guam,59075,100
GUY,Guyana,9812,89
HKG,"Hong Kong SAR, China",57216,100
HND,Honduras,5396,65
IDN,Indonesia,10531,45
IRN,"Iran, Islamic Rep.",14536,100
IRQ,Iraq,10311,76
ISL,Iceland,55274,100
JAM,Jamaica,9551,76
JPN,Japan,41310,100
KAZ,Kazakhstan,22703,77
KEN,Kenya,3330,40
KIR,Kiribati,2250,54
KNA,St. Kitts and Nevis,25569,95
KOR,"Korea, Rep.",42105,100
KWT,Kuwait,58810,100
LCA,St. Lucia,14030,100
LIE,Liechtenstein,45727,100
LSO,Lesotho,1979,20
MAC,"Macao SAR, China",117336,100
MCO,Monaco,43712,100
MDG,Madagascar,1566,18
MDV,Maldives,17285,38
MHL,Marshall Islands,3629,49
MKD,"Macedonia, FYR",16148,73
MMR,Myanmar,1094,60
MNE,Montenegro,20753,76
MUS,Mauritius,20647,98
NCL,New Caledonia,57330,67
NIC,Nicaragua,4612,92
NOR,Norway,64962,99
NRU,Nauru,11167,100
NZL,New Zealand,41857,97
PAN,Panama,28436,85
PER,Peru,11877,83
PLW,Palau,18275,77
PRY,Paraguay,11810,47
PSE,West Bank and Gaza,5986,92
CAN,Qatar,96262,100
QAT,Saudi Arabia,48921,100
SAU,Senegal,3068,21
SGP,Singapore,97341,100
SLB,Solomon Islands,2596,12
SLV,El Salvador,7329,79
SRB,Serbia,18351,70
SUR,Suriname,16954,80
SYR,Syrian Arab Republic,8587,74
TJK,Tajikistan,2616,38
TON,Tonga,5636,71
TTO,Trinidad and Tobago,28911,94
TUN,Tunisia,10505,65
TUV,Tuvalu,3793,47
UKR,Ukraine,11535,76
URY,Uruguay,20588,98
USA,United States,61498,100
VEN,"Venezuela, RB",14270,100
VGB,British Virgin Islands,24216,97
VNM,Vietnam,5089,72
VUT,Vanuatu,3062,12
WSM,Samoa,6211,100
XKX,Kosovo,9724,39
YEM,"Yemen, Rep.",8270,20
ZMB,Zambia,3201,20
