iso3c,region_id,country_name,waste_treatment_methods,percentage
ABW,LCN,Aruba,recycling,11
ABW,LCN,Aruba,unaccounted for,89
AND,ECS,Andorra,incineration,52
AND,ECS,Andorra,unaccounted for,48
ARE,MEA,United Arab Emirates,compost,9
ARE,MEA,United Arab Emirates,landfill,9
ARE,MEA,United Arab Emirates,open dump,62
ARE,MEA,United Arab Emirates,recycling,20
ARG,LCN,Argentina,landfill,72
ARG,LCN,Argentina,open dump,23
ARG,LCN,Argentina,recycling,6
ARM,ECS,Armenia,open dump,100
ATG,LCN,Antigua and Barbuda,landfill,99
ATG,LCN,Antigua and Barbuda,unaccounted for,1
AUT,ECS,Austria,compost,31
AUT,ECS,Austria,incineration,38
AUT,ECS,Austria,landfill,3
AUT,ECS,Austria,unaccounted for,1
AUT,ECS,Austria,recycling,26
AZE,ECS,Azerbaijan,open dump,100
BEL,ECS,Belgium,compost,19
BEL,ECS,Belgium,incineration,43
BEL,ECS,Belgium,landfill,1
BEL,ECS,Belgium,recycling,34
BEL,ECS,Belgium,unaccounted for,2
BEN,SSF,Benin,recycling,25
BEN,SSF,Benin,unaccounted for,75
BFA,SSF,Burkina Faso,landfill,17
BFA,SSF,Burkina Faso,open dump,59
BFA,SSF,Burkina Faso,other,12
BFA,SSF,Burkina Faso,unaccounted for,12
BGD,SAS,Bangladesh,compost,5
BGD,SAS,Bangladesh,unaccounted for,95
BGR,ECS,Bulgaria,compost,10
BGR,ECS,Bulgaria,incineration,3
BGR,ECS,Bulgaria,landfill,66
BGR,ECS,Bulgaria,recycling,19
BGR,ECS,Bulgaria,unaccounted for,2
BHR,MEA,Bahrain,landfill,92
BHR,MEA,Bahrain,recycling,8
BIH,ECS,Bosnia and Herzegovina,landfill,33
BIH,ECS,Bosnia and Herzegovina,open dump,42
BIH,ECS,Bosnia and Herzegovina,unaccounted for,26
BLR,ECS,Belarus,landfill,77
BLR,ECS,Belarus,open dump,7
BLR,ECS,Belarus,recycling,16
BLZ,LCN,Belize,open dump,66
BLZ,LCN,Belize,landfill,34
BMU,NAC,Bermuda,compost,18
BMU,NAC,Bermuda,landfill,12
BMU,NAC,Bermuda,incineration,68
BMU,NAC,Bermuda,recycling,2
BOL,LCN,Bolivia,open dump,56
BOL,LCN,Bolivia,recycling,12
BOL,LCN,Bolivia,landfill,32
BRA,LCN,Brazil,landfill,75
BRA,LCN,Brazil,open dump,16
BRA,LCN,Brazil,recycling,1
BRA,LCN,Brazil,unaccounted for,8
BRB,LCN,Barbados,landfill,90
BRB,LCN,Barbados,recycling,9
BRB,LCN,Barbados,unaccounted for,1
BRN,EAS,Brunei Darussalam,compost,2
BRN,EAS,Brunei Darussalam,landfill,70
BRN,EAS,Brunei Darussalam,unaccounted for,28
BTN,SAS,Bhutan,compost,1
BTN,SAS,Bhutan,landfill,98
BTN,SAS,Bhutan,recycling,1
BWA,SSF,Botswana,recycling,1
BWA,SSF,Botswana,unaccounted for,99
CAN,NAC,Canada,compost,4
CAN,NAC,Canada,incineration,3
CAN,NAC,Canada,landfill,72
CAN,NAC,Canada,recycling,21
CHE,ECS,Switzerland,compost,21
CHE,ECS,Switzerland,incineration,47
CHE,ECS,Switzerland,recycling,32
CHI,ECS,Channel Islands,compost,16
CHI,ECS,Channel Islands,landfill,39
CHI,ECS,Channel Islands,incineration,16
CHI,ECS,Channel Islands,recycling,28
CHL,LCN,Chile,landfill,85
CHL,LCN,Chile,open dump,8
CHL,LCN,Chile,unaccounted for,5
CMR,SSF,Cameroon,open dump,80
CMR,SSF,Cameroon,landfill,19
COD,SSF,"Congo, Dem. Rep.",recycling,5
COD,SSF,"Congo, Dem. Rep.",unaccounted for,95
COG,SSF,"Congo, Rep.",recycling,26
COG,SSF,"Congo, Rep.",unaccounted for,74
CUB,LCN,Cuba,landfill,31
CUB,LCN,Cuba,open dump,42
CUB,LCN,Cuba,recycling,9
CUB,LCN,Cuba,unaccounted for,18
CUW,LCN,Curacao,recycling,2
CUW,LCN,Curacao,unaccounted for,98
CYM,LCN,Cayman Islands,recycling,21
CYM,LCN,Cayman Islands,unaccounted for,79
CYP,ECS,Cyprus,compost,5
CYP,ECS,Cyprus,landfill,74
CYP,ECS,Cyprus,recycling,13
CYP,ECS,Cyprus,unaccounted for,8
CZE,ECS,Czech Republic,compost,4
CZE,ECS,Czech Republic,incineration,18
CZE,ECS,Czech Republic,landfill,53
CZE,ECS,Czech Republic,recycling,26
DEU,ECS,Germany,compost,18
DEU,ECS,Germany,incineration,32
DEU,ECS,Germany,recycling,48
DEU,ECS,Germany,unaccounted for,2
DMA,LCN,Dominica,landfill,94
DMA,LCN,Dominica,unaccounted for,6
DNK,ECS,Denmark,compost,19
DNK,ECS,Denmark,incineration,53
DNK,ECS,Denmark,landfill,1
DNK,ECS,Denmark,recycling,27
DOM,LCN,Dominican Republic,open dump,73
DOM,LCN,Dominican Republic,recycling,8
DOM,LCN,Dominican Republic,unaccounted for,19
DZA,MEA,Algeria,compost,1
DZA,MEA,Algeria,landfill,91
DZA,MEA,Algeria,recycling,8
ECU,LCN,Ecuador,open dump,22
ECU,LCN,Ecuador,recycling,13
ECU,LCN,Ecuador,landfill,53
ECU,LCN,Ecuador,unaccounted for,12
ESP,ECS,Spain,compost,16
ESP,ECS,Spain,incineration,12
ESP,ECS,Spain,landfill,55
ESP,ECS,Spain,recycling,17
EST,ECS,Estonia,compost,4
EST,ECS,Estonia,landfill,7
EST,ECS,Estonia,incineration,51
EST,ECS,Estonia,recycling,25
EST,ECS,Estonia,unaccounted for,13
ETH,SSF,Ethiopia,open dump,43
ETH,SSF,Ethiopia,unaccounted for,57
FIN,ECS,Finland,compost,12
FIN,ECS,Finland,incineration,48
FIN,ECS,Finland,landfill,12
FIN,ECS,Finland,recycling,28
FJI,EAS,Fiji,landfill,52
FJI,EAS,Fiji,recycling,5
FJI,EAS,Fiji,unaccounted for,43
FRA,ECS,France,compost,17
FRA,ECS,France,incineration,35
FRA,ECS,France,landfill,26
FRA,ECS,France,recycling,22
GBR,ECS,United Kingdom,compost,16
GBR,ECS,United Kingdom,incineration,31
